title;content;excerpt;status;type;expires;discount_value;code;printable_url;destination_url;store;category;date;exclusive;author;store_name;store_slug;store_description;store_parent;store_url;store_aff_url;store_heading;store_is_featured;store_extra_info;store_image
LEVE 1 Nécessarie, 1 Creme de Mãos Flor de Cerejeira 10ml e 1 Bálsamo Labial Flor de Cerejeira 12ml. De: R$83 / Por: R$42 em qualquer compra na L'Occitane;;;publish;code;30/04/2020 23:59:00;0;MIMOCEREJEIRA;https://br.loccitane.com/;https://redir.lomadee.com/v2/986247df2c;L'Occitane;Saúde e Beleza;;;;;;;;;;;;;
LEVE 1 Cestinha, 1 Sabonete em Barra Rosas 75g, 1 Sabonete Líquido Rosas 75ml e 1 Mini Eau de Toilette de Rosas 7ml De: R$108 / Por: R$59 em compras acima de R$ 250 na L'Occitane;;;publish;code;30/04/2020 23:59:00;0;SURPRESAROSAS;https://br.loccitane.com/;https://redir.lomadee.com/v2/986247df2c;L'Occitane;Saúde e Beleza;;;;;;;;;;;;;
Ganhe um presente que contêm: 1 Sabonete Líquido em Óleo Karité 35ml e 1 Esponja Corporal em Compras Acima de R$250 na L'Occitane;;;publish;code;30/04/2020 23:59:00;0;CORPO250;https://br.loccitane.com/;https://redir.lomadee.com/v2/98f3e97bba;L'Occitane;Saúde e Beleza;;;;;;;;;;;;;
Ganhe um presente que contêm: 1 Sabonete Líquido em Óleo Karité 35ml, 1 Esponja Corporal e 1 Nécessaire em Compras Acima de R$350 na L'Occitane;;;publish;code;30/04/2020 23:59:00;0;CORPO350;https://br.loccitane.com/;https://redir.lomadee.com/v2/98f3e97bba;L'Occitane;Saúde e Beleza;;;;;;;;;;;;;
Ganhe um presente que contêm: 1 Sabonete Líquido em Óleo Karité 35ml, 1 Esponja Corporal, 1 Nécessaire e 1 Bolsa em Compras Acima de R$450 na L'Occitane;;;publish;code;30/04/2020 23:59:00;0;CORPO450;https://br.loccitane.com/;https://redir.lomadee.com/v2/98f3e97bba;L'Occitane;Saúde e Beleza;;;;;;;;;;;;;
GANHE m Guarda-Chuva Exclusivo em compras acima de R$170 na L'Occitane;;;publish;code;30/04/2020 23:59:00;0;AGUA;https://br.loccitane.com/;https://redir.lomadee.com/v2/9814eae70f;L'Occitane;Saúde e Beleza;;;;;;;;;;;;;
Ganhe R$213 de desconto em compras acima de R$850 na L'Occitane;;;publish;code;30/04/2020 23:59:00;213;CONSUMIDOR850;https://br.loccitane.com/;https://redir.lomadee.com/v2/98f3e97bba;L'Occitane;Saúde e Beleza;;;;;;;;;;;;;
10% de desconto no site da Latifundio;;;publish;code;10/04/2020 23:59:00;10;FIQUEEMCASA;https://www.latifundio.com.br/;https://redir.lomadee.com/v2/98dd7033da;Latifundio;Moda e Acessórios;;;;;;;;;;;;;
5% de desconto em toda a loja;;;publish;code;16/09/2020 23:59:00;5;SOUFLORENCE;https://www.livrariaflorence.com.br/;https://redir.lomadee.com/v2/98616f1cef;Livraria Florence;Livros;;;;;;;;;;;;;
GANHE um Massageador de Caju em compras acima de R$110 na Loccitane Au Bresil;;;publish;code;30/04/2020 23:59:00;0;BRINDECAJU;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/987e52b378;Loccitane Au Bresil;Saúde e Beleza;;;;;;;;;;;;;
Ganhe R$50 de desconto em compras acima de $220 na linha Caju na Loccitane Au Bresil;;;publish;code;30/04/2020 23:59:00;50;CAJU50OFF;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/98565d7dbf;Loccitane Au Bresil;Saúde e Beleza;;;;;;;;;;;;;
GANHE uma Bolsa SHOULDER em compras acima de R$350 na Loccitane Au Bresil;;;publish;code;30/04/2020 23:59:00;0;SHOULDER350;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/98e9af60d9;Loccitane Au Bresil;Saúde e Beleza;;;;;;;;;;;;;
GANHE uma toalha exclusiva em compras acima de R$250 com algum produto da linha de Bagunça na Loccitane Au Bresil;;;publish;code;30/04/2020 23:59:00;0;TOALHABAGUNÇA;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/98b728d829;Loccitane Au Bresil;Saúde e Beleza;;;;;;;;;;;;;
GANHE uma Lancheira Água de Coco à sua escolha em compras acima de R$ 220 na Loccitane Au Bresil;;;publish;code;30/04/2020 23:59:00;0;LANCHEIRA220;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/988218de49;Loccitane Au Bresil;Saúde e Beleza;;;;;;;;;;;;;
GANHE uma Bolsa Exclusiva em compras acima de R$230 na Loccitane Au Bresil;;;publish;code;30/04/2020 23:59:00;0;BOLSAVIP;https://br.loccitaneaubresil.com/;https://redir.lomadee.com/v2/98d5e18666;Loccitane Au Bresil;Saúde e Beleza;;;;;;;;;;;;;
DESC5 - Cupom de 5% Geral para todo o site em qualquer produto;;;publish;code;31/12/2022 23:59:00;5;DESC5;https://lojasmm.com/;https://redir.lomadee.com/v2/9890a696e9;LojasMM;Mais Ofertas;;;;;;;;;;;;;
DESCONTO DE 10% EM TODO SITE.;;;publish;code;01/12/2020 23:59:00;10;LOMADEE;https://mamorena.com.br/;https://redir.lomadee.com/v2/98022e3415;Mamorena;Moda e Acessórios;;;;;;;;;;;;;
20% OFF na Midnight Sun (cupom não cumulativo);;;publish;code;30/04/2020 23:59:00;20;BEMVINDO20;https://www.mdnsun.com/;https://redir.lomadee.com/v2/9882e538ec;Midnight Sun;Moda e Acessórios;;;;;;;;;;;;;
#FiqueEmCasa - 5% de desconto em categorias vendidas e entregue por Mobly;;;publish;code;30/04/2020 23:59:00;5;EMCASACOMMOBLY;https://www.mobly.com.br/;https://redir.lomadee.com/v2/98d27c503f;Mobly;Casa e Decoração;;;;;;;;;;;;;
FRETE GRÁTIS em compras acima de R$100 nas regiões Sul e Sudeste na Nathus Brasil;;;publish;sale;15/04/2020 23:59:00;0;URL CUPONADA;https://www.nathusbrasil.com.br/;https://redir.lomadee.com/v2/9843220c43;Nathus Brasil;Saúde e Beleza;;;;;;;;;;;;;
CUPOM: VIDASAUDAVEL Faça sucos para imunidade sem sair de casa! Transforme sua alimentação com NutriBullet!;;;publish;code;09/04/2020 18:36:00;5;vidasaudavel;https://www.nutribulletbrasil.com.br/;https://redir.lomadee.com/v2/983c5f83cc;NutriBullet;Eletrodomésticos;;;;;;;;;;;;;
40% de desconto em TODO SITE na Pajaris;;;publish;code;31/07/2020 23:59:00;40;RX4KLN;https://www.pajaris.com.br/;https://redir.lomadee.com/v2/9873dd07c7;Pajaris;Moda e Acessórios;;;;;;;;;;;;;
10% de desconto em primeira compra no Petit Louarth;;;publish;code;30/04/2020 23:59:00;10;PETIT10;https://www.petitlouarth.com.br/;https://redir.lomadee.com/v2/982dba8e27;Petit Louarth;Brinquedos;;;;;;;;;;;;;
10% OFF em todo o site da Positivo Casa Inteligente;;;publish;code;30/04/2020 23:59:00;10;CASAINTELIGENTEABR-10;https://www.positivocasainteligente.com.br/;https://redir.lomadee.com/v2/988e308d05;Positivo Casa Inteligente;Mais Ofertas;;;;;;;;;;;;;
10% OFF em todo site Positivo Casa Inteligente;;;publish;code;30/04/2020 23:59:00;10;LOMADEE10;https://www.positivocasainteligente.com.br/;https://redir.lomadee.com/v2/988e308d05;Positivo Casa Inteligente;Mais Ofertas;;;;;;;;;;;;;
TODO SITE COM +10% OFF NO BOLETO;;;publish;sale;31/12/2020 23:59:00;10;URL CUPONADA;https://www.quintadellarte.com.br/;https://redir.lomadee.com/v2/98973f3923;QUINTA DELL'ARTE;Casa e Decoração;;;;;;;;;;;;;
PEÇAS EM PORCELANA COM 40% OFF;;;publish;sale;31/05/2020 23:59:00;40;URL CUPONADA;https://www.quintadellarte.com.br/;https://redir.lomadee.com/v2/981e3551a1;QUINTA DELL'ARTE;Casa e Decoração;;;;;;;;;;;;;
PEÇAS EM FERRO FUNDIDO COM 10% OFF;;;publish;sale;31/05/2020 23:59:00;10;URL CUPONADA;https://www.quintadellarte.com.br/;https://redir.lomadee.com/v2/9830e82ea1;QUINTA DELL'ARTE;Casa e Decoração;;;;;;;;;;;;;
R$20 OFF NA PRIMEIRA COMPRA;;;publish;code;31/12/2020 23:59:00;20;QUINTA20;https://www.quintadellarte.com.br/;https://redir.lomadee.com/v2/98973f3923;QUINTA DELL'ARTE;Casa e Decoração;;;;;;;;;;;;;
10% de desconto na primeira compra;;;publish;code;31/07/2020 23:59:00;10;FIRST10;https://www.repassa.com.br/;https://redir.lomadee.com/v2/987b3876e1;Repassa;Moda e Acessórios;;;;;;;;;;;;;
Frete grátis em compras acima de R$ 300,00;;;publish;code;31/07/2020 23:59:00;0;ZEROFRETE;https://www.repassa.com.br/;https://redir.lomadee.com/v2/987b3876e1;Repassa;Moda e Acessórios;;;;;;;;;;;;;
Oferta especial para clientes Lomadee.;;;publish;code;31/12/2020 23:59:00;15;LOMADEE;https://rzmshop.com.br/;https://redir.lomadee.com/v2/98e77df944;RZM Shop;Moda e Acessórios;;;;;;;;;;;;;
10% de desconto em seleção de produtos Fun Kitchen e La Cuisine no Shoptime;;;publish;code;31/03/2021 23:59;10;RECEITA10;https://www.shoptime.com.br/;https://redir.lomadee.com/v2/871e26ce1c;Shoptime;Casa e Decoração;;;;;;;;;;;;;
20% de desconto em Todos os Produtos na SOLY BRASIL;;;publish;code;19/04/2020 23:59:00;20;promo20;https://www.solybrasil.com.br/;https://redir.lomadee.com/v2/982a18a880;Soly Brasil;Moda e Acessórios;;;;;;;;;;;;;
25% de desconto em compras acima de R$ 150,00 na SOLY BRASIL;;;publish;code;19/04/2020 23:59:00;25;cupom150;https://www.solybrasil.com.br/;https://redir.lomadee.com/v2/982a18a880;Soly Brasil;Moda e Acessórios;;;;;;;;;;;;;
Frete Grátis para São Paulo e Rio de Janeiro em compras acima de R$80,00 na SOLY BRASIL;;;publish;code;19/04/2020 23:59:00;100;fretesp0800;https://www.solybrasil.com.br/;https://redir.lomadee.com/v2/982a18a880;Soly Brasil;Moda e Acessórios;;;;;;;;;;;;;
10% de desconto em seleção de Móveis no Submarino;;;publish;code;07/04/2020 23:59:00;10;MOVEIS10;https://www.submarino.com.br/;https://redir.lomadee.com/v2/989296656d;Submarino ;Casa e Decoração;;;;;;;;;;;;;
