id,title,startdate,enddate,url,discount,progid,rule,code,description,type
171196,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264638&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit Mini câmera Drone vermelho e Relógio Smart Branco = R$139,
171197,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264639&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit de Mochila e Relógio esporte DE: 184,
171198,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264641&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit Eletrônicos de Relógio executivo e fone de ouvido  DE: R$212,
171199,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264642&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit Esportivo Óculos de sol com fone integrado buetooth e relógio analógico masculino DE: R$228,
171200,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264643&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit Corrida: DE: R$ 143,
171201,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264644&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit Smart Executivo – Relógio  Fone bluetooth! DE R$ 390,
171202,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264645&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit Maquiagem – Pincéis + massageador   esponja! DE R$: 256,
171203,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264646&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit de Mini Drone branco e Relógio Smart Preto: DE R$ 390,
171204,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264647&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit Escova Alisadora vermelho: DE R$ 113,
171205,Extra,10/18/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4264648&campid=44518;769&siteid=49553,0,769,Oferta,-,Kit Cama Inflável,
171208,Lojas Colombo,10/20/2016,10/24/2016,http://v2.afilio.com.br/tracker.php?banid=4265336&campid=44518;1739&siteid=49553,0,1739,Oferta,sem,Semana Arrasadora - ofertas com até 60% OFF,p
171242,Netshoes,10/20/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4265452&campid=44518;577&siteid=49553,20,577,Cupom,PROB20,Desconto de 20% em Probiótica - Código: PROB20 *Apenas na lista de Produtos,p
171243,Netshoes,10/20/2016,10/31/2016,http://v2.afilio.com.br/tracker.php?banid=4265454&campid=44518;577&siteid=49553,5,577,Cupom,BIFITNESS,Desconto de 5% em Bikes - Codigo: BIFITNESS *Apenas na lista de Produtos,p
171252,Lojas Colombo,10/24/2016,10/26/2016,http://v2.afilio.com.br/tracker.php?banid=4265967&campid=44518;1739&siteid=49553,0,1739,Oferta,sem,Frete Grátis TODO SITE,
