title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image
CUPOM: Periféricos de Informática com 4% OFF,,,,Cupom,11/1/2016,PER4OFF,,http://v2.afilio.com.br/tracker.php?banid=4263866&campid=44518;1509&siteid=49553,Mega Mamute,,,,,,,,,,,,,,,,,,,,
CUPOM: Acessórios de telefonia com 4% OFF,,,,Cupom,11/1/2016,ACE4OFF,,http://v2.afilio.com.br/tracker.php?banid=4263868&campid=44518;1509&siteid=49553,Mega Mamute,,,,,,,,,,,,,,,,,,,,
CUPOM: R$ 20 OFF acima de 450 (somente no cartão,,,,Cupom,11/1/2016,20ACIMA450,,http://v2.afilio.com.br/tracker.php?banid=4263870&campid=44518;1509&siteid=49553,m,,,,,,,,,,,,,,,,,,,,
Kit Mini câmera Drone vermelho e Relógio Smart Branco = R$139,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264638&campid=44518;769&siteid=49553,Extra,,,,,,,,,,,,,,,,,,,,
Kit de Mochila e Relógio esporte DE: 184,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264639&campid=44518;769&siteid=49553,Extra,,,,,,,,,,,,,,,,,,,,
Kit Eletrônicos de Relógio executivo e fone de ouvido  DE: R$212,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264641&campid=44518;769&siteid=49553,Extra,,,,,,,,,,,,,,,,,,,,
Kit Esportivo Óculos de sol com fone integrado buetooth e relógio analógico masculino DE: R$228,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264642&campid=44518;769&siteid=49553,Extra,,,,,,,,,,,,,,,,,,,,
Kit Corrida: DE: R$ 143,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264643&campid=44518;769&siteid=49553,Extra,,,,,,,,,,,,,,,,,,,,
Kit Smart Executivo – Relógio  Fone bluetooth! DE R$ 390,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264644&campid=44518;769&siteid=49553,Extra,,,,,,,,,,,,,,,,,,,,
Kit Maquiagem – Pincéis + massageador   esponja! DE R$: 256,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264645&campid=44518;769&siteid=49553,Extra,,,,,,,,,,,,,,,,,,,,
Kit de Mini Drone branco e Relógio Smart Preto: DE R$ 390,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264646&campid=44518;769&siteid=49553,Extra,,,,,,,,,,,,,,,,,,,,
Kit Escova Alisadora vermelho: DE R$ 113,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264647&campid=44518;769&siteid=49553,Extra,,,,,,,,,,,,,,,,,,,,
Kit Cama Inflável,,,,Oferta,10/31/2016,-,,http://v2.afilio.com.br/tracker.php?banid=4264648&campid=44518;769&siteid=49553,Extra,,,,,,,,,,,,,,,,,,,,
Semana Arrasadora - ofertas com até 60% OFF,,,,Oferta,10/24/2016,sem,,http://v2.afilio.com.br/tracker.php?banid=4265336&campid=44518;1739&siteid=49553,Lojas Colombo,,,,,,,,,,,,,,,,,,,,
Desconto de 20% em Probiótica - Código: PROB20 *Apenas na lista de Produtos,,,,Cupom,10/31/2016,PROB20,,http://v2.afilio.com.br/tracker.php?banid=4265452&campid=44518;577&siteid=49553,Netshoes,,,,,,,,,,,,,,,,,,,,
Desconto de 5% em Bikes - Codigo: BIFITNESS *Apenas na lista de Produtos,,,,Cupom,10/31/2016,BIFITNESS,,http://v2.afilio.com.br/tracker.php?banid=4265454&campid=44518;577&siteid=49553,Netshoes,,,,,,,,,,,,,,,,,,,,
Frete Grátis TODO SITE,,,,Oferta,10/26/2016,sem,,http://v2.afilio.com.br/tracker.php?banid=4265967&campid=44518;1739&siteid=49553,Lojas Colombo,,,,,,,,,,,,,,,,,,,,
