title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image
Boxer com Bot√£o em Algod√£o Supima somente R$55,,,,Oferta,11/30/2016,,,http://v2.afilio.com.br/tracker.php?banid=4265394&campid=44518;2040&siteid=49553,Intimissimi,,,,,Intimissimi,,,,,,,,,,,,,,,
CUPOM: Perif√©ricos de Inform√°tica com 4% OFF,,,,Cupom,11/1/2016,PER4OFF,,http://v2.afilio.com.br/tracker.php?banid=4263866&campid=44518;1509&siteid=49553,Mega Mamute,,,,,Mega Mamute,,,,,,,,,,,,,,,
CUPOM: Acess√≥rios de telefonia com 4% OFF,,,,Cupom,11/1/2016,ACE4OFF,,http://v2.afilio.com.br/tracker.php?banid=4263868&campid=44518;1509&siteid=49553,Mega Mamute,,,,,Mega Mamute,,,,,,,,,,,,,,,
Adiantamos o futuro! O Black Friday √© agora!,,,,Cupom,10/31/2016,FUTURO40,,http://v2.afilio.com.br/tracker.php?banid=4265397&campid=44518;1534&siteid=49553,OFF Premium ,,,,,OFF Premium ,,,,,,,,,,,,,,,
CUPOM: 10% OFF em todo o site,,,,Cupom,10/31/2016,agoraeletro10,,http://v2.afilio.com.br/tracker.php?banid=3980665&campid=44518;1222&siteid=49553,Onofre Eletro,,,,,Onofre Eletro,,,,,,,,,,,,,,,
CUPOM: 10% de desconto nos produtos da lista,,,,Cupom,10/31/2016,Z4E8-AIGR-6Y21-KB3UW,,http://v2.afilio.com.br/tracker.php?banid=3981827&campid=44518;1222&siteid=49553,Onofre Eletro,,,,,Onofre Eletro,,,,,,,,,,,,,,,
Lan√ßamento Ver√£o'17 OQVestir ,,,,Oferta,10/31/2016,,,http://v2.afilio.com.br/tracker.php?banid=2455206&campid=44518;1086&siteid=49553,Oqvestir,,,,,Oqvestir,,,,,,,,,,,,,,,
CRAZY FASHION WEEK  Cupom para desconto: CRAZY500;  Compre 500 - ganhe 150 no ato Compre 900 - ganhe 250 no ato Compre 1400 - ganhe 500 no ato,,,,Cupom,10/28/2016,CRAZY500,,http://v2.afilio.com.br/tracker.php?banid=4265965&campid=44518;1086&siteid=49553,OQVestir,,,,,OQVestir,,,,,,,,,,,,,,,
Cupom: POLIAFILIO5 Desconto de 5% para compras acima de R$ 100.,,,,Cupom,10/31/2016,POLIAFILIO5 ,,http://v2.afilio.com.br/tracker.php?banid=3981740&campid=44518;357&siteid=49553,Polishop,,,,,Polishop,,,,,,,,,,,,,,,
Ganhe 10% de desconto na primeira compra! Aproveite! ,,,,Cupom,12/31/2016,BEMVINDORCH,,http://v2.afilio.com.br/tracker.php?banid=4240692&campid=44518;1843&siteid=49553,Richards,,,,,Richards,,,,,,,,,,,,,,,
Tem novidade na cole√ß√£o de ver√£o! Confira as estampas florais que v√£o tornar sua praia mais colorida!,,,,Oferta,12/31/2016,,,http://v2.afilio.com.br/tracker.php?banid=4265430&campid=44518;1844&siteid=49553,Salinas,,,,,Salinas,,,,,,,,,,,,,,,
Melhores do OFF VR! Aproveite a sele√ß√£o de pe√ßas do OFF a partir de R$59,,,,Oferta,12/31/2016,,,http://v2.afilio.com.br/tracker.php?banid=4265432&campid=44518;2005&siteid=49553,VR,,,,,VR,,,,,,,,,,,,,,,
Ganhe R$ 100 OFF em compras acima de R$ 200! (produtos da lista) - Cupom: GANHE100,,,,Cupom,12/31/2016,GANHE100,,http://v2.afilio.com.br/tracker.php?banid=3793672&campid=44518;1785&siteid=49553,Zattini,,,,,Zattini,,,,,,,,,,,,,,,
10% para a categoria beleza - Cupom: BEL10,,,,Cupom,10/30/2016,BEL10,,http://v2.afilio.com.br/tracker.php?banid=3981487&campid=44518;1785&siteid=49553,Zattini,,,,,Zattini,,,,,,,,,,,,,,,
Ganhe 120 em compras acima de 250 - Cupom: ZAT120 *Produtos da lista,,,,Cupom,12/31/2016,ZAT120,,http://v2.afilio.com.br/tracker.php?banid=4265414&campid=44518;1785&siteid=49553,Zattini,,,,,Zattini,,,,,,,,,,,,,,,
10 % desconto,,,,Cupom,-,10DESCONTO,,http://tracking.rtkrsecure.com/aff_c?offer_id=1085&aff_id=40927&url_id=10515,Allora,,,,,Allora,,,,,,,,,,,,,,,
12 % desconto rÈplicas e estatuetas,,,,Cupom,12/31/2016,WEACH12,,http://tracking.rtkrsecure.com/aff_c?offer_id=390&aff_id=40927&url_id=9999&file_id=25845&url=http%3A%2F%2Fwww.ayrtonsennashop.com.br%2F%3Futm_source%3Dweach%26utm_medium%3Dcupom%26utm_campaign%3D10-05ASCupom10,Ayrton Senna Shop,,,,,Ayrton Senna Shop,,,,,,,,,,,,,,,
