title,content,excerpt,status,type,expires,code,printable_url,destination_url,store,category,date,exclusive,author,store_name,store_slug,store_description,store_parent,store_url,store_aff_url,store_heading,store_is_featured,store_extra_info,store_image,category_name,category_slug,category_description,category_parent,category_icon,category_cat_image
Promocode: GANHEI50 | R$50 OFF nas compras acima de R$200 nesta lista!,,,,Cupom,28/11/16,GANHEI50,,http://v2.afilio.com.br/tracker.php?banid=3980997&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Ganhe 10% de desconto na primeira compra! Aproveite! ,,,,Cupom,31/12/16,BEMVINDOBOB,,http://v2.afilio.com.br/tracker.php?banid=3981688&campid=44518;1959&siteid=49553,,,,,,Bobstore,,,,,,,,,,,,,,,
 R$50 OFF nas compras acima de R$200 nesta lista!,,,,Cupom,31/12/16,GANHEI50,,http://v2.afilio.com.br/tracker.php?banid=4148917&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
2 Cal,,,,Cupom,31/12/16,CE2POR129,,http://v2.afilio.com.br/tracker.php?banid=4148918&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
3 camisetas por 99,,,,Cupom,31/12/16,3POR99B,,http://v2.afilio.com.br/tracker.php?banid=4148919&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
Camisetas grandes marcas 2 por 99,,,,Cupom,31/12/16,2CAM99,,http://v2.afilio.com.br/tracker.php?banid=4148920&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
2 Bon,,,,Cupom,31/12/16,2BON129,,http://v2.afilio.com.br/tracker.php?banid=4148921&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
15% OFF em Kimonos,,,,Cupom,31/12/16,15KIMONOS,,http://v2.afilio.com.br/tracker.php?banid=4148922&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
10% OFF em Monitores Cardiacos e Rel,,,,Cupom,31/12/16,10MONITORES,,http://v2.afilio.com.br/tracker.php?banid=4148923&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
15% em Kangoo Jumps,,,,Cupom,31/12/16,15JUMPKANGOO,,http://v2.afilio.com.br/tracker.php?banid=4148924&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
10% em Oculos ,,,,Cupom,31/12/16,10OCULOS,,http://v2.afilio.com.br/tracker.php?banid=4148925&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
15% em Kimonos,,,,Cupom,31/12/16,15KIMONOS,,http://v2.afilio.com.br/tracker.php?banid=4148926&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
10% Em Equipamentos desta lista,,,,Cupom,31/12/16,EQUIP10OFF,,http://v2.afilio.com.br/tracker.php?banid=4148927&campid=44518;382&siteid=49553,,,,,,Centauro,,,,,,,,,,,,,,,
